Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
2.11013, 2040-2059, access1_0, Jan Anomaly, NZL
0.5047, 2040-2059, access1_0, Feb Anomaly, NZL
0.11741, 2040-2059, access1_0, Mar Anomaly, NZL
-0.2402, 2040-2059, access1_0, Apr Anomaly, NZL
0.41477, 2040-2059, access1_0, May Anomaly, NZL
0.21844, 2040-2059, access1_0, Jun Anomaly, NZL
-0.3948, 2040-2059, access1_0, Jul Anomaly, NZL
1.74092, 2040-2059, access1_0, Aug Anomaly, NZL
0.76793, 2040-2059, access1_0, Sep Anomaly, NZL
0.53601, 2040-2059, access1_0, Oct Anomaly, NZL
0.2344, 2040-2059, access1_0, Nov Anomaly, NZL
1.84686, 2040-2059, access1_0, Dec Anomaly, NZL
1.30552, 2040-2059, access1_3, Jan Anomaly, NZL
0.0315, 2040-2059, access1_3, Feb Anomaly, NZL
0.15655, 2040-2059, access1_3, Mar Anomaly, NZL
-0.845, 2040-2059, access1_3, Apr Anomaly, NZL
-0.5572, 2040-2059, access1_3, May Anomaly, NZL
-0.416, 2040-2059, access1_3, Jun Anomaly, NZL
-0.3196, 2040-2059, access1_3, Jul Anomaly, NZL
0.81892, 2040-2059, access1_3, Aug Anomaly, NZL
-1.026, 2040-2059, access1_3, Sep Anomaly, NZL
-0.6737, 2040-2059, access1_3, Oct Anomaly, NZL
-0.5327, 2040-2059, access1_3, Nov Anomaly, NZL
0.16246, 2040-2059, access1_3, Dec Anomaly, NZL
-1.1554, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NZL
0.23682, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NZL
-0.6743, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NZL
-0.2022, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NZL
0.13192, 2040-2059, bcc_csm1_1_m, May Anomaly, NZL
0.3207, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NZL
0.22295, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NZL
0.29386, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NZL
-0.1671, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NZL
